22nya	dua-duanya
7an	tujuan
aahh	ah
aama	sama
aamien	amin
aamiin	amin
aamiinin	amin
aamin	amin
ababil	abg labil
abal "	abal-abal
abanggku	abangku
abes	habis
abez	habis
abg	abang
abgnya	abangnya
abgnyaah	abangnya
abis	habis
abis-abis	habis-habis
abiss	habis
abiz	habis
acra	acara
adaa	ada
adain	mengadakan
adapin	menghadapi
ade	adik
adek	adik
adek-adek	adik-adik
adeknya	adiknya
adekx	adiknya
adem	sejuk
ademm	sejuk
adengan	adegan
adeuh	aduh
adiik	adik
adkah	adakah
adl	adalah
adlah	adalah
adlh	adalah
adoh	aduh
aduhh	aduh
aduuh	aduh
aduuhh	aduh
adyem	sejuk
ae	saja
aee	saja
aelah	halah
aer	air
afaik	as far as i know
agama ' ny	agamanya
agan	juragan
agan-agan	juragan-juragan
agk	agak
agma	agama
ahaha	haha
ahahahanjir	anjir
ahh	ah
aing	aku
aj	saja
aja	saja
ajaa	saja
ajah	saja
ajaibb	ajaib
ajakin	mengajak
ajarin	ajarkan
aje	saja
ajep-ajep	dunia gemerlap
ajh	saja
ajha	saja
ajhh	saja
ajibb	ajaib
ajj	saja
ajja	saja
ajjh	saja
ak	ah
ak	aku
aka	dikenal juga sebagai
akau	aku
akhirt	akhirat
akhlah	akhlak
akhrt	akhirat
akika	aku
akko	aku
akkoh	aku
akku	aku
akn	akan
akuh	aku
akuhh	aku
akuu	aku
akuwh	aku
akyu	aku
alaami	alami
alamii	alami
alay	norak
alhamd	alhamdulillah
alissnyaa	alisnya
aljasa	asal jadi saja
alkhamdulilah	alhamdulillah
allaahh	allah
allahh	allah
alloh	allah
alm	almarhum
almh	almarhumah
aloh	allah
alow	halo
ama	sama
amaat	amat
amad	amat
amatt	amat
ambilin	ambilkan
ambl	ambil
ameen	amin
amen	amin
amfun	ampun
amien	amin
amiend	amin
amienn	amin
amiien	amin
amiin	amin
amiinn	amin
aminn	amin
aminn-aminn	amin-amin
ammin	amin
amoh	kamu
ampe	sampai
ampunn	ampun
ampuun	ampun
ampuunn	ampun
ampyun	ampun
amu	kamu
anak "	anak-anak
anak ' y	anaknya
anak2e	anak-anaknya
anak2mu	anak-anakmu
anak2nya	anak-anaknya
anakny	anaknya
anakx	anaknya
ancur	hancur
anda	kamu
aned	banget
anedh	banget
aneed	banget
aneut	banget
anj	anjing
anjaayy	anjay
anjingnyaa	anjingnya
anjirr	anjir
anjr	anjir
anjrit	anjing
ank	anak
ank "	anak-anak
ank-ank	anak-anak
ank2nya	anak-anaknya
ankknya	anaknya
anknya	anaknya
ankx	anaknya
anter	antar
anugrah	anugerah
anyeng	anjing
anying	anjing
ap	apa
ap-ap	apa-apa
apa "	apa-apa
apa2nya	apa-apanya
apaa	apa
apaalahh	apalah
apaan	apa
apah	apa
apal	hapal
apalai	apalagi
apalg	apalagi
apalgi	apalagi
apasih	apa sih
ape	apa
apes	sial
aplikasiin	mengaplikasikan
aplks	aplikasi
aplot	unggah
apo	apa
app	aplikasi
appa	apa
applikasi	aplikasi
apus	hapus
apva	apa
aq	aku
aqu	aku
aquwh	aku
argh	ah
artis "	artis-artis
artisnyaa	artisnya
artist "	artis-artis
artix	artinya
asbun	asal bunyi
aseek	asyik
aseekk	asyik
asek	asyik
asekk	asyik
aseknya	asyiknya
asem	asam
asik	asyik
aslinyo	aslinya
asoy	asyik
aspal	asli tetapi palsu
astafirullah	astaghfirullah
astagaa	astaga
astagfirrullah	astaghfirullah
astagfirullah	astaghfirullah
astagfirullh	astaghfirullah
astajim	astaghfirullah
astauviruloh	astaghfirullah
astgfrlh	astaghfirullah
astgfrullah	astaghfirullah
astrojim	astaghfirullah
astul	asal tulis
asu	anjing
atassan	atasan
ati "	hati-hati
ati-ati	hati-hati
ato	atau
ats	atas
atu	satu
atuhh	atuh
atutt	takut
atuu	satu
atuuh	atuh
atw	atau
au ah	tidak mau tahu
aurot	aurat
ava	avatar
awaas	awas
awak	aku
awk	aku
awl	awal
awooh	allah
aws	awas
ay	sayang
ayahh	ayah
ayang	sayang
ayank	sayang
ayok	ayo
ayoklaa	ayolah
ayoo	ayo
ayuk	ayo
ayukk	ayo
aza	saja
azaab	azab
azek	asyik
b-b	berdua
b2an	berduaan
b3	bertiga
b4	sebelum
baaiik	baik
baang	abang
baanget	banget
baanggeet	banget
babget	banget
bacahalah	bacalah
bacotin	bacot
badaai	badai
badaii	badai
badingkan	membandingkan
bae-bae	baik-baik
baek	baik
baek-baek	baik-baik
bagaatt	banget
bagaimna	bagaimana
baget	banget
bagiin	membagikan
bagusnye	bagusnya
baguss	bagus
baguus	bagus
baikk	baik
baikxa	baiknya
baju ' a	bajunya
baju . a	bajunya
bakalan	akan
bales	balas
balesin	membalas
bandes	bantuan desa
bandingin	bandingkan
bang	abang
bangat	banget
bangcat	bangsat
bangdes	pembangunan desa
banged	banget
bangedd	banget
bangedh	banget
bangedt	banget
bangeer	banget
bangeet	banget
bangeett	banget
banger	banget
bangets	banget
bangett	banget
bangg	abang
bangga " in	membangga-banggakan
bangga2in	membangga-banggakan
banggain	banggakan
bangget	banget
banggett	banget
bangke	bangkai
bangkotan	tua
bangkret	bangkrut
bangrt	banget
bangshad	bangsat
bangt	banget
bangt "	banget-banget
banhet	banget
banpol	bantuan polisi
banpres	bantuan presiden
banpur	bantuan tempur
bansarkas	bantuan sarana kesehatan
bante	membantai
bantuanny	bantuannya
bantuim	membantu
banyaak	banyak
banyakin	membanyaki
bape	bawa perasaan
bapeerr	bawa perasaan
baper	bawa perasaan
baperr	bawa perasaan
baraang	barang
bareng-bareng	bersama-sama
barengg	bersama
baruu	baru
basbang	basi
basodaraa	bersaudara
bat	banget
batesin	batasi
batikk	batik
batwc	banget
bawa "	bawa-bawa
bayangin	bayangkan
bazengg	bajingan
bbrp	beberapa
bbrpa	beberapa
bcanda	bercanda
bcnda	bercanda
bcoz	karena
bdampingan	berdampingan
bdan	badan
bdg	bandung
bdn	badan
beb	sayang
bebrp	beberapa
bedaa	beda
bedain	membedakan
bedainnya	membedakannya
bedua	berdua
begajulan	nakal
begete	banget
beginii	begini
bego	bodoh
begok	bodoh
bejibun	banyak
bejilbbnya	berjilbabnya
bela " in	membela-bela
bela2in	membela-bela
belain	membela
belanjaa	belanja
beliin	membelikan
belin	membelikan
bellain	membela
belom	belum
belomm	belum
beluumm	belum
benahin	membenahi
benar "	benar-benar
benarin	membenarkan
bencong	banci
bener	benar
bener "	benar-benar
bener-bener	benar-benar
beneraan	benaran
beneran	benaran
benerr	benar
benet	benar
benetaran	benaran
benneerr	benar
bentar	sebentar
bentarr	sebentar
ber ' expresi	berekspresi
ber-ber	berdua
ber3	bertiga
berangat	berangkat
berani2nya	berani-beraninya
berarto	berarti
berati	berarti
beratt	berat
berbakiti	berbakti
berdikari	berdiri di atas kaki sendiri
berenanh	berenang
beresin	membereskan
berfikir	berpikir
bergunaa	berguna
berhijap	berhijab
berjinah	berzina
berkluarga	berkeluarga
bermaksut	bermaksud
berntung	beruntung
bertatto	bertato
bertolernsi	bertoleransi
besar "	besar-besar
besarin	membesarkan
besokk	besok
besook	besok
bet	banget
bete	bosan
beti	beda tipis
bett	banget
beud	banget
beudd	banget
beut	banget
bg	abang
bgd	banget
bgect	banget
bget	banget
bgett	banget
bgi	bagi
bgini	begini
bgitu	begitu
bgmana	bagaimana
bgmn	bagaimana
bgmna	bagaimana
bgni	begini
bgs	bagus
bgst	bangsat
bgt	banget
bgtt	banget
bgtu	begitu
bgtuu	begitu
bgun	bangun
bgus	bagus
bguss	bagus
bhagaia	bahagia
bhagia	bahagia
bhas	bahas
bhet	banget
bhgia	bahagia
bhgiain	membahagiakan
bhijab	berhijab
bhkn	bahkan
bhn	bahan
bhubu	tidur
bhw	bahwa
bhwa	bahwa
biarin	biarkan
biasaa	biasa
biasahh	biasa
bijimane	bagaimana
bijin	buat
bikinin	buatkan
bikinn	buatkan
bilang "	bilang-bilang
bilangg	bilang
bilangin	bilangkan
bilanh	bilang
bilng	bilang
bimbuluh	bimbingan dan penyuluhan
binggo	benar
bingitz	banget
bintal	bimbingan mental
bisaa	bisa
bisax	bisanya
bisi	kalau-kalau
biza	bisa
bju	baju
bka	buka
bkal	akan
bkan	bukan
bkin	membuat
bkl	akan
bkln	akan
bkn	bukan
bknnya	bukannya
blajar	belajar
blakon	berlakon
blegug	bodoh
bleh	boleh
blg	bilang
blh	boleh
bli2n	membeli-belikan
bljr	belajar
blkang	belakang
blkng	belakang
blm	belum
bln	bulan
blng	bilang
blnja	belanja
blogh	bodoh
blom	belum
bls	balas
blum	belum
bnchi	benci
bnci	benci
bnda	bunda
bner	benar
bner "	benar-benar
bner-bner	benar-benar
bnerr	benar
bngatt	banget
bngeet	banget
bnget	banget
bngett	banget
bngkit	bangkit
bngt	banget
bngtt	banget
bngtz	banget
bngun	bangun
bngung	bingung
bngunlah	bangunlah
bngy	banget
bnr	benar
bnr-bnr	benar-benar
bntar	sebentar
bntr	sebentar
bntu	bantu
bnyak	banyak
bnyk	banyak
bo ' ong	bohong
bodho	bodoh
bodhoo	bodoh
bodor	lucu
bokap	ayah
bokep	video porno
boker	berak
bokin	pacar
bokis	bohong
bol3h	boleh
bolang	bocah petualang
bole	boleh
boljug	boleh juga
bolot	bodoh
bonek	bocah nekat
bonyok	ayah ibu
boong	bohong
boro-boro	jangankan
bosaan	bosan
bosen	bosan
bosen-bosen	bosan-bosan
bosenin	membosankan
botakin	botaki
botakk	botak
boyeh	boleh
bpk	bapak
bpkmu	bapakmu
bpknya	bapaknya
br	baru
bradegan	beradegan
brangnya	barangnya
brani	berani
branjak	beranjak
brantem	berantem
brapa	berapa
brarti	berarti
brasa	berasa
brb	segera kembali
brbakti	berbakti
brbuat	berbuat
brdiri	berdiri
brdua	berdua
brengsekk	brengsek
brhasil	berhasil
brhjb	berhijab
brisi	berisi
brita	berita
britanya	beritanya
brjdh	berjodoh
brjodoh	berjodoh
brkunjun	berkunjung
brngkt	berangkat
brp	berapa
brpa	berapa
brpndapat	berpendapat
brrt	berarti
brrti	berarti
brsama	bersama
brsyukur	bersyukur
brtngkar	bertengkar
bru	baru
brubah	berubah
brusaha	berusaha
bs	bisa
bsa	bisa
bsen	bosan
bsk	besok
bsok	besok
btuh	butuh
btul	betul
btulan	betulan
btw	by the way
bu_bu	tidur
buanget	banget
buanyak	banyak
buatin	buatkan
bubarin	bubarkan
bubbu	tidur
buber	buka bersama
bubu	tidur
bujngn	bujangan
bujubune	luar biasa
buka2an	buka-bukaan
bukan ' a	bukannya
bukn	bukan
buktiin	buktikan
buktinyaa	buktinya
bulet	bulat
bumil	ibu hamil
bund	ibu
bundaa	ibu
bungg	bung
bungkusin	bungkuskan
bungkuss	bungkus
bungkuus	bungkus
burem	buram
busedh	buset
buseett	buset
buser	buru sergap
bw	bawa
bwa "	bawa-bawa
bwhn	bawahan
bwt	buat
byak	banyak
byangin	bayangkan
byar	bayar
byaran	bayaran
byk	banyak
byr	bayar
byrin	bayarkan
bz	bisa
caannttiikk	cantik
caantiikk	cantik
caantik	cantik
caantikk	cantik
cabal	sabar
cabe2an	cabe-cabean
cabol	cabul
cabut	pergi
cadas	keren
cadass	keren
caem	cakep
cakeep	cakep
cakeepp	cakep
cakepp	cakep
cama-cama	sama-sama
campurin	campurkan
canntik	cantik
canntikk	cantik
cans	cantik
canteek	cantik
cantiik	cantik
cantiiknyaa	cantiknya
cantik2nya	cantik-cantiknya
cantikk	cantik
cantikknyaa	cantiknya
cantiknyaa	cantiknya
cantiks	cantik
cantikx	cantiknya
cantinya	cantiknya
cantiq	cantik
cantiqs	cantik
cantix	cantik
cantk	cantik
capcus	pergi
cape	capek
capee	capek
caper	cari perhatian
caranga	caranya
cariin	carikan
carmuk	cari muka
catiik	cantik
cba	coba
ccok	cocok
cemburuu	cemburu
cemplungin	masukkan
cempreeng	cempreng
cengengesan	tertawa
centill	centil
centilnyaa	centilnya
ceper	pendek
cepet	cepat
cepet-cepet	cepat-cepat
cerdass	cerdas
cerdiik	cerdik
ceritax	ceritanya
cewe	cewek
cewer	jewer
chelalyyu	selalu
chuyunk	sayang
ciapa	siapa
cibuk	sibuk
ciee	cie
cimeng	ganja
cin	cinta
cini	sini
cinlok	cinta lokasi
cintaa	cinta
cintax	cintanya
ciptain	ciptakan
ciumman	ciuman
cius	serius
ciye	cie
ciyee	cie
ciyuss	serius
ckepp	cakep
ckup	cukup
cmkn	camkan
cmpr	campur
cmpur	campur
cnenk	senang
cntiikk	cantik
cntik	cantik
cntikk	cantik
cntiknya	cantiknya
cobaa	coba
coccokk	cocok
cocokk	cocok
cocokny	cocoknya
cocokx	cocoknya
coeg	jancuk
cogan	cowok ganteng
comen2nya	komentar-komentarnya
coment	komentar
comment2nya	komentar-komentarnya
cong	banci
congor	mulut
coret "	coret-coret
cowo	cowok
coz	karena
cpet	cepat
cpit	sipit
cpt	cepat
cr	cara
cri	cari
critamu	ceritamu
cuantek	cantik
cuanti	cantik
cuantik	cantik
cuantikk	cantik
cuco	cocok
cucok	cocok
cucokk	cocok
cuman	hanya
cupu	culun
curhat	curahan hati
cuyy	cuy
cwe	cewek
cwek	cewek
cwo	cowok
cwok	cowok
cz	karena
dalem	dalam
dallam	dalam
damang	sehat
dapet	dapat
darpada	daripada
dasaar	dasar
dasarr	dasar
dasyat	dahsyat
dateng	datang
dblkang	di belakang
dblkng	di belakang
dbnding	dibanding
dbuat	dibuat
dbwh	di bawah
dcintai	dicintai
ddlm	di dalam
ddpat	didapat
ddpt	didapat
dech	deh
dede	adik
dedek	adik
dedeknya	adiknya
dehat	sehat
dek	adik
deket	dekat
deketin	dekati
dekt	dekat
demen	suka
dengeerin	dengarkan
denger	dengar
dengeriin	dengarkan
dengerin	dengarkan
dewassa	dewasa
dgn	dengan
dgr	dengar
dhpusin	dihapuskan
diaa	dia
diajarin	diajari
diakibtkn	diakibatkan
diam "	diam-diam
diancurin	dihancurkan
dianter	diantar
diapain	diapakan
dibangga ' in	dibangga-banggakan
dibanggain	dibanggakan
dibiarin	dibiarkan
dibikin-bikin	dibuat-buat
dibkatakan	dikatakan
dibls	dibalas
dibnggain	dibanggakan
didapet	didapat
didatengin	didatangi
didengerin	didengarkan
diem	diam
diemin	diamkan
diemm	diam
digabtikan	digantikan
digambarin	digambarkan
diginiin	dibeginikan
diginikan	dibeginikan
digituin	dibegitukan
digosipin	digosipkan
dihargain	dihargai
dihh	dih
dihpus	dihapus
diingetin	diingatkan
dijadiin	dijadikan
dijelekin	dijelekkan
dijkt	dijakarta
dijwb	dijawab
dikata2in	dikata-katai
dikatain	dikatai
dikemanain	dikemanakan
dikerasin	dikerasi
diliat	dilihat
diliatnya	dilihatnya
dilindungin	dilindungi
diluarann	diluaran
dimaafin	dimaafkan
dimana "	dimana-mana
dimarahin	dimarahi
dimasukin	dimasuki
dimintak	diminta
dimusiumin	dimuseumkan
dinamakn	dinamakan
dingin "	dingin-dingin
dinyanyiin	dinyanyikan
dipake	dipakai
dipermainin	dipermainkan
dipikirin	dipikirkan
diputusin	diputuskan
dirmh	dirumah
dirumahny	dirumahnya
disinii	disini
disni	disini
ditayangin	ditayangkan
ditutupin	ditutupi
dituutup	ditutup
diuber	dikejar
diurusin	diurusi
dkat	dekat
dket	dekat
dkit	sedikit
dlam	dalam
dlm	dalam
dlu	dulu
dluar	diluar
dmana	dimana
dmn	dimana
dmna	dimana
dngan	dengan
dngn	dengan
doaang	saja
doang	saja
doank	saja
dodol	bodoh
doeloe	dulu
dosa2mu	dosa-dosamu
dosaa	dosa
dosax	dosanya
dpke	dipakai
dpn	depan
dposisi	diposisi
dpotong	dipotong
dpt	dapat
dptkan	dapatkan
dptnya	dapatnya
dramaa	drama
dri	dari
drii	dari
drimana	darimana
drimnanya	darimananya
dripada	daripada
dripda	daripada
drmana	darimana
drmn	darimana
drpada	daripada
drpd	daripada
drtd	dari tadi
dsana	disana
dsar	dasar
dsini	disini
dsna	disana
dsni	disini
dsr	dasar
dsrny	dasarnya
dteng	datang
dtg	datang
dtggu	ditunggu
dtinggl	ditinggal
dtnggu	ditunggu
dtunggu	ditunggu
duh	aduh
duhh	aduh
duit	uang
duluu	dulu
eakyu	waktu
edaan	gila
edan	gila
edann	gila
eike	aku
eke	aku
eksprsi	ekspresi
elo	kamu
elu	kamu
emak-emak	ibu-ibu
emakx	ibunya
emang	memang
emangnya	memangnya
emank	memang
emez	gemas
emezz	gemas
emg	memang
emng	memang
emngnya	memangnya
emnknya	memangnya
endak	tidak
engga	tidak
enggak	tidak
entar	nanti
expresi	ekspresi
eyke	aku
fakultass	fakultas
fhoto	foto
fhotonya	fotonya
fikiran	pikiran
fillm	film
filmny	filmnya
fotbar	foto bareng
foto2nya	foto-fotonya
fotony	fotonya
g	tidak
ga	tidak
gaada	tidak ada
gabisa	tidak bisa
gadiss	gadis
gaharus	tidak harus
gaje	tidak jelas
gajelas	tidak jelas
gak	tidak
gak papa	tidak apa-apa
gakk	tidak
gakpapa	tidak apa-apa
gakuat	tidak kuat
gakusah	tidak usah
gakwad	tidak kuat
gamau	tidak mau
gambarin	gambarkan
gan	juragan
gans	ganteng
ganteeng	ganteng
gantengg	ganteng
ganteung	ganteng
gantheng	ganteng
gantng	ganteng
gantweng	ganteng
gapake	tidak pakai
gapapa	tidak apa-apa
gapernah	tidak pernah
gaptek	gagap teknologi
gapunya	tidak punya
gara "	gara-gara
gara ' '	gara-gara
gasalah	tidak salah
gasih	tidak sih
gatau	tidak tahu
gataunya	tidak tahunya
gatek	gagap teknologi
gatot	gagal total
gausa	tidak usah
gausah	tidak usah
gawe	kerja
gayany	gayanya
gayax	gayanya
gbs	tidak bisa
geer	gede rasa
geje	tidak jelas
gelo	gila
gemay	gemas
gemaz	gemas
gemeez	gemas
gemeezz	gemas
gemes	gemas
gemesiin	menggemaskan
gemesin	menggemaskan
gemesinn	menggemaskan
gemesnya	gemasnya
gemess	gemas
gemesshh	gemas
gemez	gemas
gemezz	gemas
gemmeezz	gemas
geulis	cantik
gilaa	gila
gilak	gila
gilakk	gila
gile	gila
gils	gila
gimana	bagaimana
gimanaa	bagaimana
gimn	bagaimana
gimna	bagaimana
gini	begini
ginian	beginian
ginii	begini
gitchu	begitu
githu	begitu
gitu	begitu
gituan	begituan
gituh	begitu
gitulah	begitulah
gituu	begitu
gk	tidak
gkkan	tidak akan
gksalah	tidak salah
gmana	bagaimana
gmanapun	bagaimanapun
gmau	tidak mau
gmn	bagaimana
gmna	bagaimana
goblog	bodoh
goblok	bodoh
gosipin	menggosipkan
gpny	tidak punya
gpp	tidak apa-apa
gr-gr	gara-gara
gra-gra	gara-gara
gretong	gratis
gretongan	gratisan
grgr	gara-gara
grunya	gurunya
gtau	tidak tahu
gthu	begitu
gtu	begitu
gtu-gtu	begitu-gitu
gtuh	begitu
gtuu	begitu
